page,table_index,manufacturer,make,model ,vehicle_type,percent_content
1,1,Kia Motors,Kia,EV6,MPV,80%
1,1,"Honda Motor Co., Ltd.",Honda,Ridgeline AWD TrailSport,Truck,75%
1,1,Tesla Inc.,Tesla,Model 3 Long Range AWD,PC,75%
1,1,Tesla Inc.,Tesla,Model 3 Long Range RWD,PC,75%
1,1,Fiat Chrysler,Jeep,Gladiator,Truck,74%
1,1,Fiat Chrysler,Dodge,Durango,MPV,73%
1,1,Fiat Chrysler,Jeep,Grand Cherokee,MPV,71%
1,1,Fiat Chrysler,Jeep,Grand Cherokee L,MPV,71%
1,1,Volkswagen,Volkswagen,ID.4 82kWh RWD,MPV,71%
1,1,"Honda Motor Co., Ltd.",Acura,MDX AWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Acura,MDX FWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Odyssey FWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Passport AWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot AWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot AWD Touring/Elite/Black,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot AWD TrailSport,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot FWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Ridgeline AWD,Truck,70%
1,1,Tesla Inc.,Tesla,Model 3 Performance,PC,70%
1,1,Tesla Inc.,Tesla,Model Y Long Range AWD,MPV,70%
1,1,Tesla Inc.,Tesla,Model Y Long Range RWD,MPV,70%
1,1,Tesla Inc.,Tesla,Model Y Performance,MPV,70%
1,1,Volkswagen,Volkswagen,ID.4 Limited 62kWh RWD,MPV,70%
1,1,Fiat Chrysler,Chrysler,Pacifica,MPV,69%
1,1,Fiat Chrysler,Jeep,Wrangler,MPV,68%
1,1,Volkswagen,Volkswagen,ID.4 82kWh AWD,MPV,68%
1,1,GM LLC,Chevy,Brightdrop,T,65%
1,1,"Honda Motor Co., Ltd.",Acura,Integra A-Spec,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,Integra A-Spec,PC,65%
1,1,Tesla Inc.,Tesla,Cybertruck,Truck,65%
1,1,Tesla Inc.,Tesla,Model S,PC,65%
1,1,Toyota,Toyota,Grand Highlander,MPV,65%
1,1,Toyota,Toyota,Highlander,MPV,65%
1,1,Toyota,Lexus,TX 350,MPV,65%
1,1,Hyundai Motor Company,Hyundai,Ioniq 5,PC,63%
1,1,Fiat Chrysler,Jeep,Grand Wagoneer,MPV,62%
1,1,Fiat Chrysler,Jeep,Wagoneer,MPV,62%
1,1,"Honda Motor Co., Ltd.",Honda,Accord,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Accord,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,Integra,PC,60%
1,1,"Honda Motor Co., Ltd.",Acura,Integra,PC,60%
1,1,"Honda Motor Co., Ltd.",Acura,MDX AWD Type S,MPV,60%
