page,table_index,manufacturer,make,model ,vehicle_type,percent_content
1,1,"Honda Motor Co., Ltd.",Honda,Passport AWD,MPV,75%
1,1,Tesla Inc.,Tesla,Model 3 Long Range,PC,75%
1,1,Tesla Inc.,Tesla,Model Y Long Range,MPV,75%
1,1,Volkswagen,Volkswagen,D.4 RWD 82kWh LG Battery,MPV,75%
1,1,GM LLC,Chevy,Brightdrop,MPV,73%
1,1,GM LLC,Chevy,Lyric,PC,73%
1,1,Fiat Chrysler,Dodge,Charger,PC,70%
1,1,Fiat Chrysler,Dodge,Durango,MPV,70%
1,1,"Honda Motor Co., Ltd.",Acura,MDX FWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Acura,MDX AWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Odyssey,MPV,70%
1,1,Tesla Inc.,Tesla,Model 3 Performance,PC,70%
1,1,Tesla Inc.,Tesla,Model Y Performance,MPV,70%
1,1,Tesla Inc.,Tesla,Model Y AWD,MPV,70%
1,1,Volkswagen,Volkswagen,ID.4 RWD 82kWh,MPV,70%
1,1,Fiat Chrysler,Chrysler,300,PC,69%
1,1,Fiat Chrysler,Chrysler,Pacifica,MPV,69%
1,1,Fiat Chrysler,RAM,Ram 1500 CLASSIC,Truck,69%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE350-4M/GLE350),MPV,69%
1,1,Volkswagen,Volkswagen,ID.4 AWD,MPV,69%
1,1,Fiat Chrysler,Jeep,Grand Cherokee,MPV,66%
1,1,Fiat Chrysler,Jeep,Grand Cherokee L,MPV,66%
1,1,Fiat Chrysler,Dodge,Challenger,PC,65%
1,1,Fiat Chrysler,Jeep,Gladiator,Truck,65%
1,1,"Honda Motor Co., Ltd.",Acura,RDX FWD A- Spec,MPV,65%
1,1,"Honda Motor Co., Ltd.",Acura,RDX FWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Acura,RDX AWD A- Spec,MPV,65%
1,1,"Honda Motor Co., Ltd.",Acura,RDX AWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Honda,Ridgeline AWD,Truck,65%
1,1,"Honda Motor Co., Ltd.",Acura,Integra,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,Integra,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX AWD,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX AWD A-Spec,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX FWD,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX FWD A-Spec,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,Accord,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,Accord,PC,65%
1,1,Tesla Inc.,Tesla,Model Y Long Range,MPV,65%
1,1,Toyota,Toyota,Camry,PC,65%
1,1,Volkswagen,Volkswagen,ID.4 RWD 62kWh,MPV,65%
1,1,Fiat Chrysler,RAM,Ram 1500,Truck,64%
1,1,Fiat Chrysler,Jeep,Wrangler,MPV,61%
1,1,Fiat Chrysler,Jeep,Grand Wagoneer,MPV,60%
1,1,Fiat Chrysler,Jeep,Wagoneer,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot 2WD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot AWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot AWD Touring/Elite/Black,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot AWD TrailSport,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,TLX Type-S Perf Tire,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 5Dr,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 5Dr,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 5Dr,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 5Dr,PC,60%
1,1,Kia Motors,Kia,K5,PC,60%
1,1,Kia Motors,Kia,Telluride,MPV,60%
1,1,Tesla Inc.,Tesla,Model S AWD,PC,60%
1,1,Tesla Inc.,Tesla,Model S Plaid,PC,60%
1,1,Tesla Inc.,Tesla,Model X,MPV,60%
1,1,Toyota,Toyota,Corolla Cross,MPV,60%
1,1,Toyota,Toyota,Highlander,MPV,60%
1,1,Toyota,Toyota,Rav4,PC,60%
1,1,Toyota,Toyota,Tundra,Truck,60%
1,1,GM LLC,Chevy,Bolt,PC,58%
1,1,GM LLC,Chevy,Bolt EUV,PC,58%
1,1,"Honda Motor Co., Ltd.",Acura,MDX AWD Type S,MPV,55%
1,1,"Honda Motor Co., Ltd.",Acura,TLX Type-S,PC,55%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,55%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,55%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,55%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,55%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,55%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,55%
1,1,Hyundai Motor Company,Hyundai,Elantra,PC,55%
1,1,Hyundai Motor Company,Hyundai,Santa Cruz,MPV,55%
1,1,Kia Motors,Kia,Sorento,MPV,55%
1,1,"Nissan North America, Inc",Nissan,Murano,MPV,55%
1,1,Toyota,Lexus,ES 350,PC,55%
1,1,Toyota,Toyota,Sienna Hybrid,MPV,55%
1,1,Ford Motor Company,Lincoln,Corsair,PC,52%
1,1,Ford Motor Company,Lincoln,Corsair PHEV,PC,52%
1,1,GM LLC,Chevy,Express,MPV,51%
1,1,GM LLC,GMC,Savanna,MPV,51%
1,1,GM LLC,Chevy,Corvette,PC,50%
1,1,"Honda Motor Co., Ltd.",Honda,Accord Sport/Touring,PC,50%
1,1,Hyundai Motor Company,Hyundai,Santa Fe,MPV,50%
1,1,Hyundai Motor Company,Hyundai,Tucson,MPV,50%
1,1,Mazda Motor Corporation,Mazda,CX-50,MPV,50%
1,1,"Nissan North America, Inc",Nissan,Altima 4CYL,PC,50%
1,1,"Nissan North America, Inc",Nissan,Altima 4CYL Turbo,PC,50%
1,1,"Nissan North America, Inc",Nissan,Maxima,PC,50%
1,1,"Nissan North America, Inc",Nissan,Pathfinder,MPV,50%
1,1,Subaru,Subaru,Ascent,MPV,50%
1,1,Subaru,Subaru,Impreza,PC,50%
1,1,Subaru,Subaru,Impreza 5 dr,PC,50%
1,1,Subaru,Subaru,Legacy,PC,50%
1,1,Subaru,Subaru,Outback,MPV,50%
1,1,Toyota,Toyota,Highlander Hybrid,MPV,50%
1,1,Toyota,Toyota,Sequoia Hybrid,MPV,50%
1,1,Toyota,Toyota,Tacoma,Truck,50%
1,1,Toyota,Toyota,Tundra Hybrid,Truck,50%
1,1,GM LLC,Chevy,Camaro,PC,49%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS450-4M),MPV,49%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS580-4M),MPV,49%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS63),MPV,49%
1,1,Volkswagen,Volkswagen,Atlas 2.0 (FWD),MPV,49%
1,1,Volkswagen,Volkswagen,Atlas 2.0 (AWD),MPV,49%
1,1,Volkswagen,Volkswagen,Atlas 3.6 (FWD),MPV,49%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLE Coupe (GLE53-4M),PC,48%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLE Coupe (GLE63S),PC,48%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS600 Maybach),MPV,48%
1,1,Volkswagen,Volkswagen,Atlas 3.6 (AWD),MPV,48%
1,1,Volkswagen,Volkswagen,Atlas Cross Sport 2.0 (FWD),MPV,48%
1,1,Volkswagen,Volkswagen,Atlas Cross Sport 2.0 (AWD),MPV,47%
1,1,"Lucid USA, Inc.",Lucid,Air,PC,46%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE450-4M),MPV,46%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE580-4M),MPV,46%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE63-4M),PC,46%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE53-4M),PC,46%
1,1,Volkswagen,Volkswagen,Atlas Cross Sport 3.6 (FWD),MPV,46%
1,1,Fiat Chrysler,RAM,Ram 1500 CLASSIC,Truck,45%
1,1,GM LLC,Chevy,Colorado,Truck,45%
1,1,GM LLC,GMC,Canyon,Truck,45%
1,1,"Nissan North America, Inc",Infiniti,QX 60,MPV,45%
1,1,"Nissan North America, Inc",Nissan,Titan,Truck,45%
1,1,Toyota,Lexus,RX350h/500h,MPV,45%
1,1,Toyota,Toyota,Camry Hybrid,PC,45%
1,1,Toyota,Toyota,Corolla,PC,45%
1,1,Toyota,Toyota,Corolla Cross Hybrid,MPV,45%
1,1,Volkswagen,Volkswagen,Atlas Cross Sport 3.6 (AWD),MPV,45%
1,1,BMW AG,BMW,X3,MPV,40%
1,1,Ford Motor Company,Ford,Expedition,MPV,40%
1,1,Ford Motor Company,Lincoln,Navigator,MPV,40%
1,1,GM LLC,Cadillac,XT4,MPV,40%
1,1,GM LLC,Chevy,Malibu,MPV,40%
2,1,GM LLC,GMC,Hummer,Truck/MPV,40%
2,1,"Nissan North America, Inc",Nissan,Frontier,Truck,40%
2,1,Tesla Inc.,Tesla,Model 3 RWD,PC,40%
2,1,Toyota,Lexus,NX 350h,MPV,40%
2,1,Toyota,Lexus,RX350,MPV,40%
2,1,GM LLC,Buick,Enclave,MPV,39%
2,1,GM LLC,Cadillac,CT4,PC,39%
2,1,GM LLC,Cadillac,CT5,PC,39%
2,1,GM LLC,Cadillac,XT5,MPV,39%
2,1,GM LLC,Cadillac,XT6,MPV,39%
2,1,GM LLC,Chevy,Blazer,MPV,39%
2,1,GM LLC,Chevy,Traverse,MPV,39%
2,1,GM LLC,GMC,Acadia,MPV,39%
2,1,Ford Motor Company,Ford,F150 EV,Truck,38%
2,1,BMW AG,BMW,X6,MPV,36%
2,1,Ford Motor Company,Ford,Edge,MPV,36%
2,1,BMW AG,BMW,X4,MPV,35%
2,1,Toyota,Lexus,NX 250/350,MPV,35%
2,1,GM LLC,Cadillac,Escalade,MPV,33%
2,1,GM LLC,Chevy,Silverado,Truck,33%
2,1,GM LLC,Chevy,Suburban/Tahoe,MPV,33%
2,1,GM LLC,GMC,Sierra,Truck,33%
2,1,GM LLC,GMC,Yukon,MPV,33%
2,1,BMW AG,BMW,X5,MPV,32%
2,1,GM LLC,Chevy,Origin AV,PC,32%
2,1,Ford Motor Company,Ford,F150,Truck,30%
2,1,Ford Motor Company,Ford,F150,Truck,30%
2,1,GM LLC,Chevy,Equinox,MPV,30%
2,1,GM LLC,GMC,Terrain,MPV,30%
2,1,"Honda Motor Co., Ltd.",Honda,HR-V FWD,MPV,30%
2,1,"Honda Motor Co., Ltd.",Honda,HR-V AWD,MPV,30%
2,1,Hyundai Motor Company,Hyundai,Santa Fe HEV,MPV,30%
2,1,Ford Motor Company,Ford,Bronco,MPV,29%
