page,table_index,manufacturer,make,model ,vehicle_type,percent_content
1,1,"Honda Motor Co., Ltd.",Honda,Passport 2WD,MPV,75.00%
1,1,"Honda Motor Co., Ltd.",Honda,Passport AWD,MPV,75.00%
1,1,Fiat Chrysler,Jeep,Grand Cherokee,MPV,73.00%
1,1,Fiat Chrysler,Jeep,Cherokee,MPV,72%
1,1,Ford Motor Company,Lincoln,Corsair,PC,72%
1,1,Fiat Chrysler,Dodge,Charger,PC,71%
1,1,Fiat Chrysler,Dodge,Durango,MPV,71%
1,1,"Honda Motor Co., Ltd.",Honda,Ridgeline AWD,Truck,70%
1,1,"Honda Motor Co., Ltd.",Honda,Ridgeline FWD,Truck,70%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot 2WD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot AWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot AWD TrailSport,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Odyssey,MPV,70%
1,1,Fiat Chrysler,Chrysler,Pacifica,MPV,69%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE350-4M/GLE350),MPV,69%
1,1,Fiat Chrysler,Chrysler,300,PC,68%
1,1,Fiat Chrysler,Jeep,Gladiator,Truck,68%
1,1,Fiat Chrysler,Dodge,Challenger,PC,67%
1,1,Fiat Chrysler,Jeep,Grand Cherokee L,MPV,66%
1,1,Fiat Chrysler,RAM,Ram 1500 CLASSIC,Truck,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX AWD,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX AWD A-Spec,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX FWD,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX FWD A-Spec,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,65%
1,1,Tesla Inc.,Tesla,Model 3 Long Range,PC,65%
1,1,Toyota,Toyota,Rav4,PC,65%
1,1,Fiat Chrysler,RAM,Ram 1500 Pickup,Truck,63%
1,1,GM LLC,Chevy,Bolt,PC,63%
1,1,GM LLC,Chevy,Corvette,PC,62%
1,1,GM LLC,Chevy,Colorado,Truck,61%
1,1,GM LLC,GMC,Canyon,Truck,61%
1,1,Fiat Chrysler,Jeep,Grand Wagoneer,MPV,60%
1,1,Fiat Chrysler,Jeep,Wrangler,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,RDX FWD A- Spec,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,RDX FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,RDX AWD A- Spec,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,RDX AWD A- Spec,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,RDX AWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,MDX FWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,MDX AWD,MPV,60%
1,1,"Honda Motor Co., Ltd.",Acura,MDX AWD Type S,MPV,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 5Dr,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 5Dr,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 5Dr,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 5Dr,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Accord Sport/Touring,PC,60%
1,1,"Honda Motor Co., Ltd.",Honda,Accord Sport/Touring,PC,60%
1,1,Kia Motors,Kia,K5,PC,60%
1,1,Kia Motors,Kia,Telluride,MPV,60%
1,1,Tesla Inc.,Tesla,Model 3 Performance,PC,60%
1,1,Tesla Inc.,Tesla,Model Y,MPV,60%
1,1,Toyota,Toyota,Camry,PC,60%
1,1,GM LLC,Chevy,Express,MPV,58%
1,1,GM LLC,GMC,Savanna,MPV,58%
1,1,Ford Motor Company,Ford,Bronco,MPV,55%
1,1,Ford Motor Company,Ford,Ranger,MPV,55%
1,1,"Honda Motor Co., Ltd.",Acura,ILX AWD,PC,55%
1,1,"Honda Motor Co., Ltd.",Acura,TLX Type-S,PC,55%
1,1,"Honda Motor Co., Ltd.",Acura,TLX Type-S Perf Tire,PC,55%
1,1,Hyundai Motor Company,Hyundai,Elantra,PC,55%
1,1,Hyundai Motor Company,Hyundai,Sorento,MPV,55%
1,1,Kia Motors,Kia,Sorento,MPV,55%
1,1,"Nissan North America, Inc",Nissan,Murano,MPV,55%
1,1,Tesla Inc.,Tesla,Model S,PC,55%
1,1,Tesla Inc.,Tesla,Model X,MPV,55%
1,1,Toyota,Lexus,ES 250/350,PC,55%
1,1,Toyota,Lexus,RX350,MPV,55%
1,1,Toyota,Toyota,Avalon,PC,55%
1,1,Toyota,Toyota,Avalon Hybrid,PC,55%
1,1,Toyota,Toyota,Sequoia,MPV,55%
1,1,Toyota,Toyota,Sienna Hybrid,MPV,55%
1,1,Fiat Chrysler,RAM,Ram 1500 CLASSIC,Truck,54%
1,1,GM LLC,Chevy,Camaro,PC,54%
1,1,Ford Motor Company,Ford,Expedition,MPV,50%
1,1,Ford Motor Company,Ford,F150,Truck,50%
1,1,Ford Motor Company,Ford,F150,Truck,50%
1,1,Ford Motor Company,Ford,Mustang,PC,50%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,50%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,50%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,50%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,50%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V AWD,MPV,50%
1,1,"Honda Motor Co., Ltd.",Honda,Accord,PC,50%
1,1,"Honda Motor Co., Ltd.",Honda,Accord,PC,50%
1,1,Hyundai Motor Company,Hyundai,Santa Fe,MPV,50%
1,1,"Nissan North America, Inc",Nissan,Altima 4CYL,PC,50%
1,1,"Nissan North America, Inc",Nissan,Altima 4CYL Turbo,PC,50%
1,1,"Nissan North America, Inc",Nissan,Maxima,PC,50%
