page,table_index,manufacturer,make,model ,vehicle_type,percent_content
1,2,"Honda Motor Co., Ltd.",Honda,Passport AWD,MPV,70%
1,2,"Honda Motor Co., Ltd.",Honda,Odyssey,MPV,70%
1,2,"Honda Motor Co., Ltd.",Acura,TLX AWD,PC,70%
1,2,"Honda Motor Co., Ltd.",Acura,TLX AWD A-Spec,PC,70%
1,2,"Honda Motor Co., Ltd.",Acura,TLX FWD,PC,70%
1,2,"Honda Motor Co., Ltd.",Acura,TLX FWD,PC,70%
1,2,"Honda Motor Co., Ltd.",Acura,TLX FWD A-Spec,PC,70%
1,2,"Honda Motor Co., Ltd.",Acura,TLX FWD A-Spec,PC,70%
1,2,Mercedes-Benz USA,Mercedes-Benz,C-Class Sedan (C300/C300-4M),PC,70%
1,2,Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE350-4M/GLE350),MPV,70%
1,2,FCA,Chrysler,300,PC,68%
1,2,FCA,Dodge,Charger,PC,66%
1,2,GM LLC,Chevrolet,Camaro,PC,66%
1,2,"Honda Motor Co., Ltd.",Acura,RDX AWD A- Spec,MPV,65%
1,2,"Honda Motor Co., Ltd.",Acura,RDX AWD,MPV,65%
1,2,"Honda Motor Co., Ltd.",Acura,MDX FWD,MPV,65%
1,2,"Honda Motor Co., Ltd.",Honda,Pilot 2WD,MPV,65%
1,2,"Honda Motor Co., Ltd.",Honda,Pilot AWD,MPV,65%
1,2,"Honda Motor Co., Ltd.",Honda,CR-V 2WD,MPV,65%
1,2,"Honda Motor Co., Ltd.",Honda,CR-V 2WD,MPV,65%
1,2,"Honda Motor Co., Ltd.",Honda,CR-V 2WD,MPV,65%
1,2,"Honda Motor Co., Ltd.",Honda,CR-V 2WD,MPV,65%
1,2,"Honda Motor Co., Ltd.",Honda,Civic 2D,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Civic 2D,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Civic 2D,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Accord,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Accord,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Accord,PC,65%
1,2,"Honda Motor Co., Ltd.",Honda,Accord 2.0L Sport/Touring,PC,65%
1,2,Toyota,Toyota,Camry,PC,65%
1,2,Toyota,Toyota,Sienna,MPV,65%
1,2,GM LLC,Chevrolet,Colorado,T,64%
1,2,GM LLC,GMC,Canyon,T,64%
1,2,GM LLC,Chevrolet,Corvette,PC,64%
1,2,FCA,Jeep,Cherokee,MPV,61%
1,2,FCA,Jeep,Gladiator,Truck,61%
1,2,Mercedes-Benz USA,Mercedes-Benz,GLE Coupe (GLE43-4M),PC,61%
1,2,Mercedes-Benz USA,Mercedes-Benz,GLE Coupe (GLE63S),PC,61%
1,2,FCA,Dodge,Challenger,PC,60%
1,2,"Honda Motor Co., Ltd.",Acura,MDX AWD,MPV,60%
1,2,"Honda Motor Co., Ltd.",Acura,MDX AWD,MPV,60%
1,2,"Honda Motor Co., Ltd.",Acura,MDX AWD A- Spec,MPV,60%
1,2,Kia Motors,Kia,Optima 2.4,PC,60%
1,2,Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS450-4M),MPV,60%
1,2,Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS580-4M),MPV,60%
1,2,Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS63),MPV,60%
1,2,Toyota,Lexus,ES 350,PC,60%
1,2,Toyota,Toyota,Avalon,PC,60%
1,2,Toyota,Toyota,Highlander,MPV,60%
1,2,Toyota,Toyota,Tundra,Truck,60%
1,2,FCA,Dodge,Durango,MPV,58%
1,2,FCA,Jeep,Grand Cherokee,MPV,58%
1,2,Fiat Chrysler,Jeep,Wrangler,MPV,58%
2,1,Fiat Chrysler,RAM,Ram 1500 CLASSIC,Truck,55%
2,1,Ford Motor Company,Ford,Explorer,MPV,55%
2,1,GM LLC,Cadillac,CT4,PC,55%
2,1,GM LLC,Cadillac,CT5,PC,55%
